date,close_cny
2026-02-24,24625
2026-02-25,24645
2026-02-26,24570
2026-02-27,24710
2026-03-02,24850
2026-03-03,24370
2026-03-04,24480
2026-03-05,24520
2026-03-06,24260
2026-03-09,24420
2026-03-10,24415
2026-03-11,24385
2026-03-12,24300
2026-03-13,24140
2026-03-16,23905
2026-03-17,23700
2026-03-18,23325
2026-03-19,22690
2026-03-20,22935
2026-03-23,22800
2026-03-24,22975
2026-03-25,22935
2026-03-26,23070
2026-03-27,23380
2026-03-30,23540
2026-03-31,23480
2026-04-01,23550
2026-04-02,23600
2026-04-03,23590
2026-04-07,23730
2026-04-08,23815
2026-04-09,23765
2026-04-10,23615
2026-04-13,23575
2026-04-14,23790
2026-04-15,23715
2026-04-16,23905
2026-04-17,24020
2026-04-20,24150
2026-04-21,24050
2026-04-22,24250
2026-04-23,24340
2026-04-24,24225
2026-04-27,24450
2026-04-28,23840
2026-04-29,23935
2026-04-30,23645
2026-05-06,24250
2026-05-07,24285
2026-05-08,24275
2026-05-11,24085
2026-05-12,24380
2026-05-13,24830
2026-05-14,24880
2026-05-15,24690
2026-05-18,24670
2026-05-19,24640
2026-05-20,24730
2026-05-21,24740
2026-05-22,24795
2026-05-25,24875
2026-05-26,25110
2026-05-27,24710
2026-05-28,24665
2026-05-29,24965
2026-06-01,24720
2026-06-02,24985
2026-06-03,25150
2026-06-04,24800
2026-06-05,24780
2026-06-08,24630
2026-06-09,24760
2026-06-10,24620
2026-06-11,24165
2026-06-12,24360
2026-06-15,24830
2026-06-16,24720
2026-06-17,24705
2026-06-18,24770
2026-06-22,24770
2026-06-23,24570
2026-06-24,24330
2026-06-25,23945
2026-06-26,23945
2026-06-29,24470
2026-06-30,24350
2026-07-01,24400
2026-07-02,24130
2026-07-03,24295
2026-07-06,24515
2026-07-07,24740
2026-07-08,24665
2026-07-09,24795
2026-07-10,24865
2026-07-13,24700
2026-07-14,24790
2026-07-15,24755
2026-07-16,24660
2026-07-17,24435
2026-07-20,24365
2026-07-21,24515
2026-07-22,24565
2026-07-23,24910
2026-07-24,24785
2026-07-27,24885
2026-07-28,24780
2026-07-29,24765
2026-07-30,24700
2026-07-31,24890
2026-08-03,25380
2026-08-04,25075
2026-08-05,25425
2026-08-06,25585
2026-08-07,25945
2026-08-10,25615
2026-08-11,25665
2026-08-12,25830
2026-08-13,25550
2026-08-14,25655
