corpus,date,entity_id,sector,mentions,day_total,sov,sov_sector
digest,2026-06-17,tata_steel,steel,2,28,0.07142857142857142,0.2857142857142857
digest,2026-06-17,jsw_steel,steel,2,28,0.07142857142857142,0.2857142857142857
digest,2026-06-17,jindal_steel,steel,2,28,0.07142857142857142,0.2857142857142857
digest,2026-06-17,lloyds_metals,mining,1,28,0.03571428571428571,0.3333333333333333
digest,2026-06-17,vedanta,aluminium,2,28,0.07142857142857142,0.2857142857142857
digest,2026-06-17,apl_apollo,steel,1,28,0.03571428571428571,0.14285714285714285
digest,2026-06-17,coal_india,mining,2,28,0.07142857142857142,0.6666666666666666
digest,2026-06-17,hindalco,aluminium,3,28,0.10714285714285714,0.42857142857142855
digest,2026-06-17,nalco,aluminium,2,28,0.07142857142857142,0.2857142857142857
digest,2026-06-17,dixon,ems,3,28,0.10714285714285714,0.75
digest,2026-06-17,kaynes,ems,1,28,0.03571428571428571,0.25
digest,2026-06-17,coforge,it,6,28,0.21428571428571427,0.8571428571428571
digest,2026-06-17,hcl_tech,it,1,28,0.03571428571428571,0.14285714285714285
digest,2026-06-17,acc,cement,0,28,0.0,0.0
digest,2026-06-17,amber,ems,0,28,0.0,0.0
digest,2026-06-17,ambuja,cement,0,28,0.0,0.0
digest,2026-06-17,avalon,ems,0,28,0.0,0.0
digest,2026-06-17,dalmia,cement,0,28,0.0,0.0
digest,2026-06-17,hindustan_copper,mining,0,28,0.0,0.0
digest,2026-06-17,hindustan_zinc,aluminium,0,28,0.0,0.0
digest,2026-06-17,infosys,it,0,28,0.0,0.0
digest,2026-06-17,jindal_stainless,steel,0,28,0.0,0.0
digest,2026-06-17,jk_cement,cement,0,28,0.0,0.0
digest,2026-06-17,jsw_cement,cement,0,28,0.0,0.0
digest,2026-06-17,kpit,it,0,28,0.0,0.0
digest,2026-06-17,ltimindtree,it,0,28,0.0,0.0
digest,2026-06-17,ltts,it,0,28,0.0,0.0
digest,2026-06-17,mphasis,it,0,28,0.0,0.0
digest,2026-06-17,nmdc,mining,0,28,0.0,0.0
digest,2026-06-17,nuvoco,cement,0,28,0.0,0.0
digest,2026-06-17,ofss,it,0,28,0.0,0.0
digest,2026-06-17,persistent,it,0,28,0.0,0.0
digest,2026-06-17,pg_electroplast,ems,0,28,0.0,0.0
digest,2026-06-17,ramco,cement,0,28,0.0,0.0
digest,2026-06-17,sail,steel,0,28,0.0,0.0
digest,2026-06-17,shree,cement,0,28,0.0,0.0
digest,2026-06-17,shyam_metalics,steel,0,28,0.0,0.0
digest,2026-06-17,star_cement,cement,0,28,0.0,0.0
digest,2026-06-17,syrma_sgs,ems,0,28,0.0,0.0
digest,2026-06-17,tata_elxsi,it,0,28,0.0,0.0
digest,2026-06-17,tcs,it,0,28,0.0,0.0
digest,2026-06-17,tech_mahindra,it,0,28,0.0,0.0
digest,2026-06-17,ultratech,cement,0,28,0.0,0.0
digest,2026-06-17,vaml,aluminium,0,28,0.0,0.0
digest,2026-06-17,wipro,it,0,28,0.0,0.0
digest,2026-06-19,jsw_steel,steel,2,67,0.029850746268656716,0.3333333333333333
digest,2026-06-19,tata_steel,steel,1,67,0.014925373134328358,0.16666666666666666
digest,2026-06-19,jindal_steel,steel,1,67,0.014925373134328358,0.16666666666666666
digest,2026-06-19,sail,steel,1,67,0.014925373134328358,0.16666666666666666
digest,2026-06-19,coal_india,mining,1,67,0.014925373134328358,1.0
digest,2026-06-19,nalco,aluminium,2,67,0.029850746268656716,0.5
digest,2026-06-19,hindustan_zinc,aluminium,1,67,0.014925373134328358,0.25
digest,2026-06-19,hindalco,aluminium,1,67,0.014925373134328358,0.25
digest,2026-06-19,ultratech,cement,1,67,0.014925373134328358,0.1111111111111111
digest,2026-06-19,shree,cement,1,67,0.014925373134328358,0.1111111111111111
digest,2026-06-19,dalmia,cement,1,67,0.014925373134328358,0.1111111111111111
digest,2026-06-19,ambuja,cement,1,67,0.014925373134328358,0.1111111111111111
digest,2026-06-19,jk_cement,cement,1,67,0.014925373134328358,0.1111111111111111
digest,2026-06-19,nuvoco,cement,1,67,0.014925373134328358,0.1111111111111111
digest,2026-06-19,ramco,cement,1,67,0.014925373134328358,0.1111111111111111
digest,2026-06-19,jsw_cement,cement,1,67,0.014925373134328358,0.1111111111111111
digest,2026-06-19,star_cement,cement,1,67,0.014925373134328358,0.1111111111111111
digest,2026-06-19,amber,ems,5,67,0.07462686567164178,0.7142857142857143
digest,2026-06-19,dixon,ems,2,67,0.029850746268656716,0.2857142857142857
digest,2026-06-19,shyam_metalics,steel,1,67,0.014925373134328358,0.16666666666666666
digest,2026-06-19,tcs,it,8,67,0.11940298507462686,0.2
digest,2026-06-19,infosys,it,11,67,0.16417910447761194,0.275
digest,2026-06-19,hcl_tech,it,4,67,0.05970149253731343,0.1
digest,2026-06-19,wipro,it,6,67,0.08955223880597014,0.15
digest,2026-06-19,tech_mahindra,it,3,67,0.04477611940298507,0.075
digest,2026-06-19,ltimindtree,it,1,67,0.014925373134328358,0.025
digest,2026-06-19,mphasis,it,1,67,0.014925373134328358,0.025
digest,2026-06-19,persistent,it,1,67,0.014925373134328358,0.025
digest,2026-06-19,coforge,it,1,67,0.014925373134328358,0.025
digest,2026-06-19,ltts,it,1,67,0.014925373134328358,0.025
digest,2026-06-19,tata_elxsi,it,1,67,0.014925373134328358,0.025
digest,2026-06-19,kpit,it,1,67,0.014925373134328358,0.025
digest,2026-06-19,ofss,it,1,67,0.014925373134328358,0.025
digest,2026-06-19,acc,cement,0,67,0.0,0.0
digest,2026-06-19,apl_apollo,steel,0,67,0.0,0.0
digest,2026-06-19,avalon,ems,0,67,0.0,0.0
digest,2026-06-19,hindustan_copper,mining,0,67,0.0,0.0
digest,2026-06-19,jindal_stainless,steel,0,67,0.0,0.0
digest,2026-06-19,kaynes,ems,0,67,0.0,0.0
digest,2026-06-19,lloyds_metals,mining,0,67,0.0,0.0
digest,2026-06-19,nmdc,mining,0,67,0.0,0.0
digest,2026-06-19,pg_electroplast,ems,0,67,0.0,0.0
digest,2026-06-19,syrma_sgs,ems,0,67,0.0,0.0
digest,2026-06-19,vaml,aluminium,0,67,0.0,0.0
digest,2026-06-19,vedanta,aluminium,0,67,0.0,0.0
digest,2026-06-30,jsw_steel,steel,1,16,0.0625,0.16666666666666666
digest,2026-06-30,tata_steel,steel,2,16,0.125,0.3333333333333333
digest,2026-06-30,jindal_steel,steel,1,16,0.0625,0.16666666666666666
digest,2026-06-30,lloyds_metals,mining,1,16,0.0625,0.5
digest,2026-06-30,apl_apollo,steel,1,16,0.0625,0.16666666666666666
digest,2026-06-30,jindal_stainless,steel,1,16,0.0625,0.16666666666666666
digest,2026-06-30,nmdc,mining,1,16,0.0625,0.5
digest,2026-06-30,hindustan_zinc,aluminium,1,16,0.0625,1.0
digest,2026-06-30,jk_cement,cement,1,16,0.0625,0.5
digest,2026-06-30,shree,cement,1,16,0.0625,0.5
digest,2026-06-30,persistent,it,5,16,0.3125,1.0
digest,2026-06-30,acc,cement,0,16,0.0,0.0
digest,2026-06-30,amber,ems,0,16,0.0,0.0
digest,2026-06-30,ambuja,cement,0,16,0.0,0.0
digest,2026-06-30,avalon,ems,0,16,0.0,0.0
digest,2026-06-30,coal_india,mining,0,16,0.0,0.0
digest,2026-06-30,coforge,it,0,16,0.0,0.0
digest,2026-06-30,dalmia,cement,0,16,0.0,0.0
digest,2026-06-30,dixon,ems,0,16,0.0,0.0
digest,2026-06-30,hcl_tech,it,0,16,0.0,0.0
digest,2026-06-30,hindalco,aluminium,0,16,0.0,0.0
digest,2026-06-30,hindustan_copper,mining,0,16,0.0,0.0
digest,2026-06-30,infosys,it,0,16,0.0,0.0
digest,2026-06-30,jsw_cement,cement,0,16,0.0,0.0
digest,2026-06-30,kaynes,ems,0,16,0.0,0.0
digest,2026-06-30,kpit,it,0,16,0.0,0.0
digest,2026-06-30,ltimindtree,it,0,16,0.0,0.0
digest,2026-06-30,ltts,it,0,16,0.0,0.0
digest,2026-06-30,mphasis,it,0,16,0.0,0.0
digest,2026-06-30,nalco,aluminium,0,16,0.0,0.0
digest,2026-06-30,nuvoco,cement,0,16,0.0,0.0
digest,2026-06-30,ofss,it,0,16,0.0,0.0
digest,2026-06-30,pg_electroplast,ems,0,16,0.0,0.0
digest,2026-06-30,ramco,cement,0,16,0.0,0.0
digest,2026-06-30,sail,steel,0,16,0.0,0.0
digest,2026-06-30,shyam_metalics,steel,0,16,0.0,0.0
digest,2026-06-30,star_cement,cement,0,16,0.0,0.0
digest,2026-06-30,syrma_sgs,ems,0,16,0.0,0.0
digest,2026-06-30,tata_elxsi,it,0,16,0.0,0.0
digest,2026-06-30,tcs,it,0,16,0.0,0.0
digest,2026-06-30,tech_mahindra,it,0,16,0.0,0.0
digest,2026-06-30,ultratech,cement,0,16,0.0,0.0
digest,2026-06-30,vaml,aluminium,0,16,0.0,0.0
digest,2026-06-30,vedanta,aluminium,0,16,0.0,0.0
digest,2026-06-30,wipro,it,0,16,0.0,0.0
digest,2026-07-02,apl_apollo,steel,1,35,0.02857142857142857,0.3333333333333333
digest,2026-07-02,tata_steel,steel,1,35,0.02857142857142857,0.3333333333333333
digest,2026-07-02,jindal_steel,steel,1,35,0.02857142857142857,0.3333333333333333
digest,2026-07-02,nmdc,mining,3,35,0.08571428571428572,0.42857142857142855
digest,2026-07-02,lloyds_metals,mining,1,35,0.02857142857142857,0.14285714285714285
digest,2026-07-02,coal_india,mining,3,35,0.08571428571428572,0.42857142857142855
digest,2026-07-02,vaml,aluminium,1,35,0.02857142857142857,0.5
digest,2026-07-02,nalco,aluminium,1,35,0.02857142857142857,0.5
digest,2026-07-02,ultratech,cement,1,35,0.02857142857142857,0.14285714285714285
digest,2026-07-02,dalmia,cement,2,35,0.05714285714285714,0.2857142857142857
digest,2026-07-02,ambuja,cement,1,35,0.02857142857142857,0.14285714285714285
digest,2026-07-02,shree,cement,1,35,0.02857142857142857,0.14285714285714285
digest,2026-07-02,ramco,cement,1,35,0.02857142857142857,0.14285714285714285
digest,2026-07-02,nuvoco,cement,1,35,0.02857142857142857,0.14285714285714285
digest,2026-07-02,kpit,it,2,35,0.05714285714285714,0.13333333333333333
digest,2026-07-02,tata_elxsi,it,1,35,0.02857142857142857,0.06666666666666667
digest,2026-07-02,ltts,it,3,35,0.08571428571428572,0.2
digest,2026-07-02,tcs,it,2,35,0.05714285714285714,0.13333333333333333
digest,2026-07-02,infosys,it,2,35,0.05714285714285714,0.13333333333333333
digest,2026-07-02,hcl_tech,it,1,35,0.02857142857142857,0.06666666666666667
digest,2026-07-02,wipro,it,1,35,0.02857142857142857,0.06666666666666667
