# Vahan all-India retail REGISTRATIONS (not wholesale dispatches). Source: analytics.parivahan.gov.in public dashboard API. Captured 2026-09-19.
# 2026-September is MONTH-TO-DATE (19 days) and is still being backdated into. Not comparable to a full month.
segment,company,maker_strings_summed,2025-October,2025-November,2025-December,2026-January,2026-February,2026-March,2026-April,2026-May,2026-June,2026-July,2026-August,2026-September,11m_total_excl_Sep26
2W,Hero MotoCorp,HERO MOTOCORP LTD,1007100,900548,301321,501545,466942,552952,562012,520522,474389,442372,415826,269575,6145529
2W,"Honda (HMSI, unlisted)",HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,850925,640065,379778,494665,450950,493416,494266,456448,456101,472645,449275,285226,5638534
2W,TVS Motor,TVS MOTOR COMPANY LTD,578564,469640,287820,384610,356460,394844,388120,365736,368657,384194,363025,226683,4341670
2W,Bajaj Auto,BAJAJ AUTO LTD,391650,318241,184306,252295,236609,269780,253287,241513,233770,229779,202960,121383,2814190
2W,Royal Enfield (Eicher),ROYAL-ENFIELD (UNIT OF EICHER LTD),154542,122881,87902,112317,97378,101435,102949,87139,97310,97369,96294,59675,1157516
2W,Suzuki 2W (unlisted),SUZUKI MOTORCYCLE INDIA PVT LTD,142135,111333,86127,104888,99715,102481,96822,99243,106139,103559,104780,60193,1157222
2W,Yamaha (unlisted),INDIA YAMAHA MOTOR PVT LTD,94762,73332,56465,66218,62639,67644,65440,61187,68140,68142,62656,39090,746625
2W,Ola Electric,OLA ELECTRIC TECHNOLOGIES PVT LTD,16438,8892,9403,7811,4175,10287,12398,15305,16294,14239,13930,6313,129172
PV,Maruti Suzuki,MARUTI SUZUKI INDIA LTD,255610,169261,160943,231665,166434,185330,168227,172375,176487,169691,172852,93973,2028875
PV,Mahindra (auto),MAHINDRA & MAHINDRA LIMITED,106823,84894,72112,96751,82098,89297,78274,69474,74202,76281,69160,43037,899366
PV,Hyundai Motor India,HYUNDAI MOTOR INDIA LTD,69454,52737,50946,69651,48326,51872,49700,47330,45234,48904,47856,30062,582010
PV,Tata Motors PV,TATA MOTORS PASSENGER VEHICLES LTD,70856,49594,47953,59018,52694,59960,50041,44852,44364,44053,44044,21675,567429
PV,Toyota Kirloskar,TOYOTA KIRLOSKAR MOTOR PVT LTD,38550,30766,28605,38305,29339,30672,29648,27970,30453,31158,26242,15313,341708
PV,Kia India,KIA INDIA PRIVATE LIMITED,35382,25834,22216,32447,27059,30387,27046,25721,24060,26411,24103,14681,300666
PV,Skoda-VW,SKODA AUTO VOLKSWAGEN INDIA PVT LTD | SKODA AUTO INDIA PVT LTD | VOLKSWAGEN INDIA PVT LTD,13374,10322,10137,10821,8372,9741,9604,8806,8489,8470,7687,5103,105823
PV,JSW MG Motor,JSW MG MOTOR INDIA PVT LTD,6728,5172,4961,6884,5270,7217,6717,6237,7425,7356,6085,3526,70052
PV,Honda Cars (unlisted),HONDA CARS INDIA LTD,7776,5746,6017,6348,5129,6012,5685,4641,5032,5992,5101,2956,63479
PV,Renault,RENAULT INDIA PVT LTD,5117,3443,3336,4872,3334,3693,4210,4304,3916,3556,3316,2115,43097
PV,Nissan,NISSAN MOTOR INDIA PVT LTD,2641,2011,1797,2461,1768,2737,3233,3046,2803,2761,2812,1756,28070
CV,Tata Motors (CV),TATA MOTORS LTD,36850,34315,31296,38522,38667,39975,39840,31846,33537,37460,32249,21104,394557
CV,Ashok Leyland,ASHOK LEYLAND LTD | ASHOK LEYLAND LTD.,17671,16370,16008,19933,19564,20459,18689,15400,15950,18598,17149,10622,195791
CV,VE Commercial (Eicher),VE COMMERCIAL VEHICLES LTD | VE COMMERCIAL VEHICLES LTD (VOLVO BUSES DIVISION),7996,7456,7077,8424,8672,8838,9485,7615,8476,9219,7465,5012,90723
CV,Force Motors,FORCE MOTORS LIMITED,3366,2605,2452,2970,3655,3614,3414,2468,3023,3950,3495,2091,35012
CV,SML (Mahindra),SML MAHINDRA LTD,870,822,934,927,1099,1309,1568,1471,1849,1767,1242,670,13858
TRAC,Mahindra (tractor),MAHINDRA & MAHINDRA LIMITED (TRACTOR) | MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION) | MAHINDRA & MAHINDRA LTD FARM MACHINERY DIVISION,30401,55219,51762,48019,38616,35747,31992,35526,44100,50349,36965,17618,458696
TRAC,Sonalika (ITL),SONALIKA INTERNATIONAL TRACTORS LIMITED | INTERNATIONAL TRACTORS LIMITED,9154,16101,14186,15686,11987,10724,10739,11388,13510,16296,11968,5730,141739
TRAC,TAFE,TAFE LIMITED,9618,13558,11486,13461,8898,8495,8440,10673,12076,14184,10783,4944,121672
TRAC,Escorts Kubota,ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),7907,14524,13104,12318,10140,8934,8592,9550,10378,12818,9760,4351,118025
TRAC,John Deere,JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION) | JOHN DEERE INDIA PVT LTD(CROP SOLUTION DIV),7286,10777,9474,9112,8208,8081,6432,6991,8553,9381,6910,3171,91205
3W,Piaggio,PIAGGIO VEHICLES PVT LTD,14338,13117,10509,12091,12368,12395,11613,11263,12692,13899,12436,7402,136721
3W,Atul Auto,ATUL AUTO LTD,3599,3522,2682,3295,3155,3044,2661,2575,2880,3084,2820,1654,33317
